order_item_id,order_id,product_id,quantity,selling_price,discount,final_price
1,1520,12,2,4484,103,4381
2,1096,22,3,3610,16,3594
3,1515,32,2,3085,40,3045
4,249,16,3,2574,130,2444
5,432,27,2,1051,76,975
6,1514,18,2,2740,200,2540
7,3478,15,1,3293,103,3190
8,1809,24,1,2514,73,2441
9,2948,18,2,2740,111,2629
10,1385,21,3,1910,59,1851
11,2863,14,3,1491,148,1343
12,2597,27,1,1051,195,856
13,632,22,3,3610,63,3547
14,3093,19,1,2161,181,1980
15,618,25,2,3331,151,3180
16,1945,20,1,2499,86,2413
17,1875,6,1,1957,164,1793
18,2562,27,1,1051,190,861
19,871,15,2,3293,69,3224
20,1346,19,2,2161,140,2021
21,1010,33,3,3027,109,2918
22,415,2,2,871,200,671
23,603,26,3,3616,137,3479
24,2418,19,3,2161,120,2041
25,3081,16,3,2574,155,2419
26,1701,35,3,4634,19,4615
27,2760,7,2,1535,57,1478
28,1613,33,1,3027,25,3002
29,2846,33,3,3027,50,2977
30,1003,30,1,2674,7,2667
31,1942,2,2,871,53,818
32,1932,9,2,3230,15,3215
33,1122,11,1,2784,24,2760
34,3337,35,3,4634,108,4526
35,79,31,3,3246,182,3064
36,1127,9,2,3230,187,3043
37,502,14,1,1491,33,1458
38,805,19,2,2161,200,1961
39,754,20,2,2499,101,2398
40,3434,21,3,1910,71,1839
41,3406,10,3,4508,148,4360
42,1215,11,2,2784,179,2605
43,3343,23,2,1578,52,1526
44,1885,13,3,2885,27,2858
45,3304,9,3,3230,149,3081
46,1620,20,1,2499,55,2444
47,328,17,3,3145,170,2975
48,1695,8,1,2864,164,2700
49,2324,25,3,3331,74,3257
50,1680,30,1,2674,158,2516
51,1687,29,3,3317,6,3311
52,904,15,1,3293,84,3209
53,1596,8,1,2864,26,2838
54,3217,7,1,1535,89,1446
55,3179,2,1,871,102,769
56,1115,16,3,2574,154,2420
57,928,3,1,2369,49,2320
58,883,15,2,3293,69,3224
59,3413,31,3,3246,107,3139
60,2809,31,3,3246,52,3194
61,1153,18,3,2740,25,2715
62,3266,3,3,2369,139,2230
63,255,17,1,3145,186,2959
64,2460,5,2,2071,126,1945
65,1029,14,1,1491,18,1473
66,1641,35,1,4634,26,4608
67,2681,1,2,2461,148,2313
68,3476,6,1,1957,12,1945
69,159,20,3,2499,41,2458
70,3403,10,3,4508,143,4365
71,1656,27,2,1051,30,1021
72,297,35,1,4634,191,4443
73,592,3,1,2369,74,2295
74,2056,8,1,2864,66,2798
75,1070,22,2,3610,141,3469
76,1308,10,1,4508,53,4455
77,252,13,1,2885,108,2777
78,394,31,3,3246,171,3075
79,842,32,3,3085,25,3060
80,328,35,2,4634,15,4619
81,2875,21,2,1910,25,1885
82,833,6,2,1957,29,1928
83,2388,9,3,3230,25,3205
84,1243,20,1,2499,34,2465
85,662,30,3,2674,1,2673
86,362,34,3,2869,167,2702
87,543,19,1,2161,30,2131
88,1226,35,2,4634,161,4473
89,2856,21,1,1910,124,1786
90,1787,5,3,2071,54,2017
91,2011,31,3,3246,94,3152
92,769,25,2,3331,109,3222
93,3231,5,1,2071,141,1930
94,2046,6,1,1957,163,1794
95,2694,20,3,2499,28,2471
96,2366,25,1,3331,200,3131
97,2628,19,1,2161,63,2098
98,1164,10,1,4508,89,4419
99,973,4,1,2713,181,2532
100,1358,6,2,1957,55,1902
101,2718,4,2,2713,152,2561
102,1592,28,3,3375,47,3328
103,1038,5,2,2071,140,1931
104,1324,23,2,1578,42,1536
105,3030,12,3,4484,127,4357
106,570,20,1,2499,0,2499
107,2952,24,2,2514,124,2390
108,2392,5,3,2071,119,1952
109,2514,35,3,4634,180,4454
110,1471,18,3,2740,134,2606
111,1157,28,2,3375,154,3221
112,905,33,3,3027,153,2874
113,435,4,1,2713,94,2619
114,1425,22,2,3610,115,3495
115,1492,26,1,3616,93,3523
116,3489,33,2,3027,37,2990
117,2968,12,2,4484,163,4321
118,1597,6,2,1957,39,1918
119,2677,26,1,3616,194,3422
120,107,24,2,2514,93,2421
121,1952,17,2,3145,2,3143
122,340,2,3,871,10,861
123,456,19,3,2161,70,2091
124,2086,15,1,3293,96,3197
125,166,27,1,1051,66,985
126,3310,33,2,3027,199,2828
127,2614,7,1,1535,0,1535
128,2456,27,2,1051,138,913
129,3295,4,3,2713,69,2644
130,2197,7,2,1535,34,1501
131,1670,10,1,4508,120,4388
132,2950,11,1,2784,128,2656
133,3248,8,1,2864,89,2775
134,586,11,1,2784,58,2726
135,2278,10,1,4508,44,4464
