order_id,customer_id,platform_id,warehouse_id,order_date,order_status,payment_method
1,1314,2,4,2025-03-11,Returned,COD
2,47,1,8,2024-11-24,Delivered,Debit Card
3,399,4,6,2024-09-09,Processing,UPI
4,1366,3,7,2023-06-01,Shipped,Credit Card
5,791,3,1,2023-10-19,Returned,Credit Card
6,631,4,2,2023-08-09,Shipped,Debit Card
7,907,3,3,2025-04-05,Shipped,Debit Card
8,286,5,2,2023-05-28,Cancelled,Credit Card
9,973,5,6,2023-03-09,Processing,Debit Card
10,182,1,7,2024-10-16,Returned,Debit Card
11,359,5,8,2024-12-28,Processing,COD
12,409,2,7,2023-10-24,Processing,Debit Card
13,87,3,5,2024-05-20,Processing,Debit Card
14,460,1,1,2023-06-07,Returned,Credit Card
15,1312,6,8,2023-05-08,Returned,Debit Card
16,368,4,4,2023-01-30,Delivered,Credit Card
17,1010,1,6,2024-08-18,Shipped,Debit Card
18,529,6,8,2024-12-11,Delivered,Credit Card
19,1050,6,1,2025-05-15,Returned,COD
20,1192,1,3,2023-11-24,Shipped,COD
21,732,2,1,2023-10-07,Returned,Debit Card
22,1304,3,1,2023-10-24,Returned,UPI
23,1053,2,3,2025-02-22,Delivered,COD
24,1114,3,6,2025-04-26,Returned,Credit Card
25,1404,6,6,2023-04-09,Processing,Credit Card
26,295,1,3,2024-06-14,Returned,Credit Card
27,994,4,6,2023-06-16,Delivered,COD
28,317,5,4,2025-05-01,Cancelled,UPI
29,855,4,2,2023-04-30,Cancelled,UPI
30,983,3,5,2024-12-08,Returned,COD
31,906,5,6,2023-06-26,Returned,UPI
32,243,2,3,2025-05-27,Cancelled,COD
33,630,2,4,2023-05-14,Delivered,Debit Card
34,1415,1,2,2023-01-20,Shipped,Debit Card
35,88,2,2,2023-02-03,Processing,UPI
36,961,1,5,2023-02-14,Delivered,Credit Card
37,1368,1,2,2025-03-12,Delivered,COD
38,1204,2,3,2024-11-17,Returned,UPI
39,186,2,5,2024-08-16,Returned,Credit Card
40,329,5,4,2024-06-01,Processing,UPI
41,203,5,1,2024-06-25,Cancelled,COD
42,578,2,1,2025-01-12,Delivered,COD
43,1033,6,8,2024-01-11,Processing,COD
44,901,6,2,2023-07-05,Returned,Debit Card
45,869,2,4,2024-02-22,Delivered,Credit Card
46,254,4,2,2024-06-16,Cancelled,Debit Card
47,740,6,5,2024-07-24,Delivered,UPI
48,672,4,2,2024-01-30,Returned,Debit Card
49,1230,6,5,2024-12-04,Shipped,COD
50,1135,4,5,2025-05-25,Shipped,COD
51,143,4,6,2023-07-03,Delivered,Debit Card
52,1377,1,7,2024-03-24,Processing,UPI
53,245,2,7,2024-02-15,Processing,UPI
54,346,1,6,2023-07-23,Returned,COD
55,1219,4,2,2023-08-27,Shipped,Debit Card
56,571,6,5,2025-02-13,Shipped,Credit Card
57,975,6,7,2024-05-11,Processing,Credit Card
58,302,4,2,2023-05-06,Returned,Debit Card
59,1019,2,3,2023-01-31,Delivered,UPI
60,140,4,1,2023-07-03,Shipped,Credit Card
61,313,3,2,2025-02-17,Delivered,Debit Card
62,955,2,5,2024-11-08,Shipped,Debit Card
63,1034,3,6,2025-04-08,Processing,UPI
64,65,4,2,2024-01-28,Shipped,Credit Card
65,771,4,8,2023-02-06,Delivered,COD
66,1141,6,5,2024-12-24,Cancelled,Debit Card
67,883,2,5,2025-01-02,Shipped,Debit Card
68,225,5,8,2024-11-06,Processing,Debit Card
69,975,5,3,2024-06-02,Delivered,Debit Card
70,540,4,7,2024-09-23,Returned,Credit Card
71,657,1,1,2024-08-27,Delivered,COD
72,751,3,1,2025-02-22,Returned,Debit Card
73,200,4,6,2024-01-01,Shipped,Credit Card
74,116,6,4,2023-09-11,Cancelled,Credit Card
75,1214,1,2,2025-06-08,Returned,UPI
76,692,2,1,2024-07-05,Returned,UPI
77,944,6,7,2024-08-04,Processing,Debit Card
78,547,1,8,2024-08-25,Delivered,Credit Card
79,774,5,7,2023-11-27,Processing,UPI
80,1001,1,4,2023-12-11,Shipped,Credit Card
81,342,5,5,2024-01-08,Shipped,COD
82,1018,6,2,2025-05-10,Processing,COD
83,589,3,1,2023-11-01,Processing,Debit Card
84,463,5,2,2025-01-04,Processing,UPI
85,1213,3,5,2023-03-10,Processing,Debit Card
86,875,2,6,2025-03-25,Delivered,Credit Card
87,1034,3,7,2024-11-10,Processing,Credit Card
88,410,4,7,2023-09-15,Processing,Debit Card
89,1376,5,3,2023-01-20,Processing,COD
90,1182,4,4,2024-11-07,Shipped,Credit Card
91,1307,5,7,2024-08-02,Delivered,COD
92,747,4,3,2023-09-04,Cancelled,Credit Card
93,892,4,6,2025-05-30,Delivered,COD
94,845,3,5,2024-10-23,Cancelled,Credit Card
95,1407,5,4,2024-02-20,Cancelled,UPI
96,308,2,1,2023-09-09,Returned,Debit Card
97,995,5,7,2024-03-08,Delivered,COD
98,327,3,3,2023-01-30,Returned,Credit Card
99,1349,5,3,2024-10-21,Delivered,Debit Card
100,41,1,2,2023-11-18,Processing,Credit Card
101,131,4,6,2024-11-18,Delivered,Debit Card
102,1484,2,4,2023-04-25,Processing,UPI
103,1069,6,5,2024-05-23,Delivered,COD
104,1229,1,6,2023-12-04,Processing,Debit Card
105,484,4,4,2023-05-28,Delivered,COD
106,439,3,8,2024-02-23,Returned,UPI
107,1005,5,6,2024-12-17,Delivered,Credit Card
108,1118,4,8,2024-11-30,Cancelled,Credit Card
109,297,3,8,2025-01-02,Returned,Credit Card
110,44,6,1,2025-05-11,Delivered,COD
111,519,5,7,2023-11-13,Returned,UPI
112,1096,2,8,2024-02-02,Delivered,Debit Card
113,524,3,2,2025-04-22,Cancelled,Credit Card
114,431,2,8,2024-10-08,Returned,Debit Card
115,70,3,2,2025-04-22,Shipped,Debit Card
116,846,3,7,2025-06-16,Delivered,COD
117,1431,3,2,2023-12-27,Shipped,Credit Card
118,929,6,1,2025-02-19,Delivered,COD
119,1291,4,3,2023-01-04,Shipped,COD
120,1287,3,6,2024-08-12,Delivered,UPI
121,324,2,3,2025-05-17,Processing,Debit Card
122,655,4,8,2025-06-13,Cancelled,Credit Card
123,356,6,6,2025-03-29,Returned,COD
124,173,4,6,2023-07-06,Shipped,Debit Card
125,1169,2,1,2023-01-24,Processing,COD
126,183,4,4,2023-09-26,Cancelled,UPI
127,822,5,7,2024-09-06,Returned,COD
128,183,3,3,2024-08-03,Delivered,UPI
129,1472,5,7,2025-03-02,Shipped,Debit Card
130,243,2,4,2023-07-15,Returned,Credit Card
131,1013,4,3,2024-03-17,Cancelled,COD
132,580,6,4,2024-03-04,Cancelled,Debit Card
133,299,1,5,2023-09-26,Cancelled,Debit Card
134,509,3,8,2023-03-29,Delivered,Debit Card
135,273,3,7,2024-12-04,Cancelled,Debit Card
136,1451,4,5,2023-03-16,Delivered,UPI
137,107,3,4,2024-04-27,Returned,UPI
138,11,3,7,2023-11-06,Shipped,Credit Card
139,271,5,1,2024-08-17,Cancelled,Credit Card
140,348,5,8,2023-12-14,Shipped,COD
141,184,3,7,2023-05-26,Returned,UPI
