shipment_id,order_id,shipping_partner,shipping_cost,dispatch_date,delivery_date
1,426,Delhivery,78,2025-03-05,2025-03-11
2,1929,BlueDart,67,2023-06-26,2023-07-03
3,2615,Ekart,137,2023-07-07,2023-07-17
4,1835,Ekart,53,2024-12-08,2024-12-12
5,1503,BlueDart,123,2024-01-10,2024-01-17
6,3487,DTDC,160,2025-05-08,2025-05-11
7,1183,Ekart,150,2024-10-11,2024-10-21
8,1314,Ekart,79,2023-06-09,2023-06-17
9,3111,BlueDart,152,2025-06-19,2025-06-25
10,1261,BlueDart,79,2023-06-08,2023-06-18
11,97,Delhivery,110,2023-07-09,2023-07-13
12,299,Ekart,186,2023-01-04,2023-01-12
13,1663,BlueDart,136,2023-02-12,2023-02-21
14,1395,Delhivery,111,2023-06-10,2023-06-12
15,2104,Delhivery,199,2024-04-17,2024-04-25
16,1685,DTDC,83,2024-04-07,2024-04-12
17,1532,BlueDart,81,2023-02-04,2023-02-06
18,481,DTDC,199,2025-01-22,2025-01-29
19,800,Delhivery,135,2025-03-19,2025-03-23
20,3001,Ekart,50,2023-01-02,2023-01-10
21,1626,Delhivery,125,2024-08-04,2024-08-12
22,2216,Ekart,129,2024-06-16,2024-06-22
23,519,Ekart,188,2023-08-11,2023-08-19
24,1083,Delhivery,48,2023-03-15,2023-03-18
25,3256,Delhivery,177,2024-11-24,2024-11-28
26,2334,DTDC,48,2024-01-20,2024-01-29
27,1219,BlueDart,102,2023-03-01,2023-03-09
28,764,Delhivery,159,2023-04-09,2023-04-16
29,1291,DTDC,191,2023-05-08,2023-05-16
30,3247,Delhivery,126,2023-07-03,2023-07-11
31,2143,BlueDart,60,2024-03-16,2024-03-23
32,1109,Ekart,85,2024-11-26,2024-12-01
33,736,Delhivery,113,2023-02-03,2023-02-12
34,889,DTDC,157,2023-03-22,2023-03-24
35,690,DTDC,104,2023-06-19,2023-06-23
36,2531,BlueDart,142,2024-09-03,2024-09-10
37,1994,DTDC,48,2023-10-28,2023-11-01
38,337,DTDC,175,2024-05-12,2024-05-20
39,1845,Delhivery,70,2023-08-07,2023-08-17
40,426,Delhivery,129,2023-03-07,2023-03-12
41,706,BlueDart,175,2024-12-04,2024-12-08
42,912,BlueDart,93,2024-01-08,2024-01-12
43,1907,Delhivery,109,2024-05-20,2024-05-27
44,1174,Delhivery,141,2025-03-25,2025-04-04
45,2675,Ekart,111,2023-09-05,2023-09-09
46,2254,Ekart,144,2024-11-28,2024-12-06
