product_id,product_name,category,brand,cost_price,mrp,launch_date
1,Adidas Dresses 1,Dresses,Adidas,711,2461,2023-07-16
13,Adidas Dresses 13,Dresses,Adidas,1292,2885,2024-04-09
29,Adidas Ethnic Wear 29,Ethnic,Adidas,2094,3317,2024-10-29
18,Adidas Kurtas 18,Kurtas,Adidas,550,2740,2024-07-16
10,Adidas Shirts 10,Shirts,Adidas,2287,4508,2024-10-04
23,Adidas Shirts 23,Shirts,Adidas,441,1578,2024-06-10
30,Adidas Shoes 30,Shoes,Adidas,2414,2674,2024-05-12
32,Allen Solly Dresses 32,Dresses,Allen Solly,1799,3085,2024-11-08
25,Allen Solly Jackets 25,Jackets,Allen Solly,2136,3331,2023-04-10
5,Allen Solly Jackets 5,Jackets,Allen Solly,1202,2071,2023-08-13
28,Allen Solly Kurtas 28,Kurtas,Allen Solly,979,3375,2023-10-13
24,Allen Solly Shoes 24,Shoes,Allen Solly,1174,2514,2024-08-13
19,Biba Jackets 19,Jackets,Biba,876,2161,2025-02-12
14,Biba Kurtas 14,Kurtas,Biba,213,1491,2025-05-11
26,FabIndia Jackets 26,Jackets,FabIndia,1965,3616,2024-11-20
31,FabIndia Shirts 31,Shirts,FabIndia,2171,3246,2023-01-03
20,FabIndia Tshirts 20,Tshirts,FabIndia,1023,2499,2024-04-07
27,FabIndia Tshirts 27,Tshirts,FabIndia,603,1051,2023-07-16
3,H&M Ethnic Wear 3,Ethnic,H&M,613,2369,2024-01-15
4,H&M Jeans 4,Jeans,H&M,1655,2713,2025-01-16
8,H&M Kurtas 8,Kurtas,H&M,2079,2864,2024-07-05
12,H&M Shirts 12,Shirts,H&M,2117,4484,2025-02-07
34,Levis Shirts 34,Shirts,Levis,2420,2869,2024-05-03
35,Puma Shirts 35,Shirts,Puma,2259,4634,2023-03-12
15,Puma Tshirts 15,Tshirts,Puma,2279,3293,2025-03-08
9,W Jackets 9,Jackets,W,1276,3230,2023-05-22
11,W Jeans 11,Jeans,W,855,2784,2024-09-02
22,W Shoes 22,Shoes,W,2468,3610,2024-12-25
16,W Tshirts 16,Tshirts,W,2372,2574,2023-04-25
7,W Tshirts 7,Tshirts,W,471,1535,2024-02-10
2,Zara Dresses 2,Dresses,Zara,484,871,2025-06-06
33,Zara Dresses 33,Dresses,Zara,2193,3027,2024-08-16
21,Zara Jeans 21,Jeans,Zara,695,1910,2024-08-25
17,Zara Shirts 17,Shirts,Zara,1686,3145,2023-03-22
6,Zara Shirts 6,Shirts,Zara,1528,1957,2023-10-02
